pattern,title,difficulty_id,link,,,,,,,,,,,,,,,,,,,,,,
array,Contains Duplicate,1,https://leetcode.com/problems/contains-duplicate,,,,,,,,,,,,,,,,,,,,,,
array,Valid Anagram,1,https://leetcode.com/problems/valid-anagram,,,,,,,,,,,,,,,,,,,,,,
array,Two Sum,1,https://leetcode.com/problems/two-sum,,,,,,,,,,,,,,,,,,,,,,
array,Group Anagrams,2,https://leetcode.com/problems/group-anagrams,,,,,,,,,,,,,,,,,,,,,,
array,Top K Frequent Elements,2,https://leetcode.com/problems/top-k-frequent-elements,,,,,,,,,,,,,,,,,,,,,,
array,"Product of Array Except Self	
",2,https://leetcode.com/problems/product-of-array-except-self,,,,,,,,,,,,,,,,,,,,,,
array,Valid Sudoku,2,https://leetcode.com/problems/valid-sudoku,,,,,,,,,,,,,,,,,,,,,,
array,Encode and Decode Strings,2,https://leetcode.com/accounts/login/?next=/problems/encode-and-decode-strings,,,,,,,,,,,,,,,,,,,,,,
graph,Longest Consecutive Sequence,3,https://leetcode.com/problems/longest-consecutive-sequence,,,,,,,,,,,,,,,,,,,,,,
two_pointer,Valid Palindrome,1,https://leetcode.com/problems/valid-palindrome,,,,,,,,,,,,,,,,,,,,,,
two_pointer,Two Sum II,2,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,,,,,,,,,,,,,,,,,,,,,,
two_pointer,3Sum,2,https://leetcode.com/problems/3sum,,,,,,,,,,,,,,,,,,,,,,
two_pointer,Container with Most Water,2,https://leetcode.com/problems/container-with-most-water,,,,,,,,,,,,,,,,,,,,,,
two_pointer,Trapping Rain Water,3,https://leetcode.com/problems/trapping-rain-water,,,,,,,,,,,,,,,,,,,,,,
sliding_window,Best Time to Buy & Sell Stock,1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,,,,,,,,,,,,,,,,,,,,,,
sliding_window,Longest Substring Without Repeating Characters,2,https://leetcode.com/problems/longest-substring-without-repeating-characters,,,,,,,,,,,,,,,,,,,,,,
sliding_window,Longest Repeating Character Replacement,2,https://leetcode.com/problems/longest-repeating-character-replacement,,,,,,,,,,,,,,,,,,,,,,
sliding_window,Permutation in String,2,https://leetcode.com/problems/permutation-in-string,,,,,,,,,,,,,,,,,,,,,,
sliding_window,Minimum Window Substring,3,https://leetcode.com/problems/minimum-window-substring,,,,,,,,,,,,,,,,,,,,,,
sliding_window,Sliding Window Maximum,3,https://leetcode.com/problems/sliding-window-maximum,,,,,,,,,,,,,,,,,,,,,,
stack,Valid Parentheses,1,https://leetcode.com/problems/valid-parentheses,,,,,,,,,,,,,,,,,,,,,,
stack,Min Stack,2,https://leetcode.com/problems/min-stack,,,,,,,,,,,,,,,,,,,,,,
stack,Evaluate Reverse Polish Notation,2,https://leetcode.com/problems/evaluate-reverse-polish-notation,,,,,,,,,,,,,,,,,,,,,,
stack,Generate Parentheses,2,https://leetcode.com/problems/generate-parentheses,,,,,,,,,,,,,,,,,,,,,,
stack,Daily Temperatures,2,https://leetcode.com/problems/daily-temperatures,,,,,,,,,,,,,,,,,,,,,,
stack,Car Fleet,2,https://leetcode.com/problems/car-fleet,,,,,,,,,,,,,,,,,,,,,,
stack,Largest Rectangle in Histogram,3,https://leetcode.com/problems/largest-rectangle-in-histogram,,,,,,,,,,,,,,,,,,,,,,
binary_search,Binary Search,1,https://leetcode.com/problems/binary-search,,,,,,,,,,,,,,,,,,,,,,
binary_search,Search a 2D Matrix,2,https://leetcode.com/problems/search-a-2d-matrix,,,,,,,,,,,,,,,,,,,,,,
binary_search,Koko Eating Bananas,2,https://leetcode.com/problems/koko-eating-bananas,,,,,,,,,,,,,,,,,,,,,,
binary_search,Search Rotated Sorted Array,2,https://leetcode.com/problems/search-in-rotated-sorted-array,,,,,,,,,,,,,,,,,,,,,,
binary_search,Find Minimum in Rotated Sorted Array,2,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,,,,,,,,,,,,,,,,,,,,,,
binary_search,Time Based Key-Value Store,2,https://leetcode.com/problems/time-based-key-value-store,,,,,,,,,,,,,,,,,,,,,,
binary_search,Find Median of Two Sorted Arrays,3,https://leetcode.com/problems/median-of-two-sorted-arrays,,,,,,,,,,,,,,,,,,,,,,
linked_list,Reverse Linked List,1,https://leetcode.com/problems/reverse-linked-list,,,,,,,,,,,,,,,,,,,,,,
linked_list,Merge Two Linked Lists,1,https://leetcode.com/problems/merge-two-sorted-lists,,,,,,,,,,,,,,,,,,,,,,
linked_list,Reorder List,2,https://leetcode.com/problems/reorder-list,,,,,,,,,,,,,,,,,,,,,,
linked_list,Remove Nth Node from End of List,2,https://leetcode.com/problems/remove-nth-node-from-end-of-list,,,,,,,,,,,,,,,,,,,,,,
linked_list,Copy List with Random Pointer,2,https://leetcode.com/problems/copy-list-with-random-pointer,,,,,,,,,,,,,,,,,,,,,,
linked_list,Add Two Numbers,2,https://leetcode.com/problems/add-two-numbers,,,,,,,,,,,,,,,,,,,,,,
linked_list,Linked List Cycle,1,https://leetcode.com/problems/linked-list-cycle,,,,,,,,,,,,,,,,,,,,,,
linked_list,Find the Duplicate Number,2,https://leetcode.com/problems/find-the-duplicate-number,,,,,,,,,,,,,,,,,,,,,,
linked_list,LRU Cache,2,https://leetcode.com/problems/lru-cache,,,,,,,,,,,,,,,,,,,,,,
linked_list,Merge K Sorted Lists,3,https://leetcode.com/problems/merge-k-sorted-lists,,,,,,,,,,,,,,,,,,,,,,
linked_list,Reverse Nodes in K-Group,3,https://leetcode.com/problems/reverse-nodes-in-k-group,,,,,,,,,,,,,,,,,,,,,,
tree,Invert Binary Tree,1,https://leetcode.com/problems/invert-binary-tree,,,,,,,,,,,,,,,,,,,,,,
tree,Maximum Depth of Binary Tree,1,https://leetcode.com/problems/maximum-depth-of-binary-tree,,,,,,,,,,,,,,,,,,,,,,
tree,Diameter of a Binary Tree,1,https://leetcode.com/problems/diameter-of-binary-tree,,,,,,,,,,,,,,,,,,,,,,
tree,Balanced Binary Tree,1,https://leetcode.com/problems/balanced-binary-tree,,,,,,,,,,,,,,,,,,,,,,
tree,Same Tree,1,https://leetcode.com/problems/same-tree,,,,,,,,,,,,,,,,,,,,,,
