frontend_question_id,question__title,question__title_slug,difficulty,paid_only
3383,Minimum Runes to Add to Cast Spell,minimum-runes-to-add-to-cast-spell,3,True
3369,Design an Array Statistics Tracker ,design-an-array-statistics-tracker,3,True
3353,Minimum Total Operations,minimum-total-operations,1,True
3385,Minimum Time to Break Locks II,minimum-time-to-break-locks-ii,3,True
3382,Maximum Area Rectangle With Point Constraints II,maximum-area-rectangle-with-point-constraints-ii,3,False
3380,Maximum Area Rectangle With Point Constraints I,maximum-area-rectangle-with-point-constraints-i,2,False
3378,Count Connected Components in LCM Graph,count-connected-components-in-lcm-graph,3,False
3344,Maximum Sized Array,maximum-sized-array,2,True
3370,Smallest Number With All Set Bits,smallest-number-with-all-set-bits,1,False
3367,Maximize Sum of Weights after Edge Removals,maximize-sum-of-weights-after-edge-removals,3,False
3357,Minimize the Maximum Adjacent Element Difference,minimize-the-maximum-adjacent-element-difference,3,False
3377,Digit Operations to Make Two Integers Equal,digit-operations-to-make-two-integers-equal,2,False
3366,Minimum Array Sum,minimum-array-sum,2,False
3381,Maximum Subarray Sum With Length Divisible by K,maximum-subarray-sum-with-length-divisible-by-k,2,False
3359,Find Sorted Submatrices With Maximum Element at Most K,find-sorted-submatrices-with-maximum-element-at-most-k,3,True
3379,Transformed Array,transformed-array,1,False
3376,Minimum Time to Break Locks I,minimum-time-to-break-locks-i,2,False
3363,Find the Maximum Number of Fruits Collected,find-the-maximum-number-of-fruits-collected,3,False
3362,Zero Array Transformation III,zero-array-transformation-iii,2,False
3351,Sum of Good Subsequences,sum-of-good-subsequences,3,False
3373,Maximize the Number of Target Nodes After Connecting Trees II,maximize-the-number-of-target-nodes-after-connecting-trees-ii,3,False
3364,Minimum Positive Sum Subarray ,minimum-positive-sum-subarray,1,False
3356,Zero Array Transformation II,zero-array-transformation-ii,2,False
3347,Maximum Frequency of an Element After Performing Operations II,maximum-frequency-of-an-element-after-performing-operations-ii,3,False
3355,Zero Array Transformation I,zero-array-transformation-i,2,False
3343,Count Number of Balanced Permutations,count-number-of-balanced-permutations,3,False
3340,Check Balanced String,check-balanced-string,1,False
3348,Smallest Divisible Digit Product II,smallest-divisible-digit-product-ii,3,False
3372,Maximize the Number of Target Nodes After Connecting Trees I,maximize-the-number-of-target-nodes-after-connecting-trees-i,2,False
3352,Count K-Reducible Numbers Less Than N,count-k-reducible-numbers-less-than-n,3,False
3337,Total Characters in String After Transformations II,total-characters-in-string-after-transformations-ii,3,False
3335,Total Characters in String After Transformations I,total-characters-in-string-after-transformations-i,2,False
3342,Find Minimum Time to Reach Last Room II,find-minimum-time-to-reach-last-room-ii,2,False
3341,Find Minimum Time to Reach Last Room I,find-minimum-time-to-reach-last-room-i,2,False
3345,Smallest Divisible Digit Product I,smallest-divisible-digit-product-i,1,False
3360,Stone Removal Game,stone-removal-game,1,False
3299,Sum of Consecutive Subsequences,sum-of-consecutive-subsequences,3,True
3346,Maximum Frequency of an Element After Performing Operations I,maximum-frequency-of-an-element-after-performing-operations-i,2,False
3375,Minimum Operations to Make Array Values Equal to K,minimum-operations-to-make-array-values-equal-to-k,1,False
3350,Adjacent Increasing Subarrays Detection II,adjacent-increasing-subarrays-detection-ii,2,False
3333,Find the Original Typed String II,find-the-original-typed-string-ii,3,False
3330,Find the Original Typed String I,find-the-original-typed-string-i,1,False
3354,Make Array Elements Equal to Zero,make-array-elements-equal-to-zero,1,False
3294,Convert Doubly Linked List to Array II,convert-doubly-linked-list-to-array-ii,2,True
3339,Find the Number of K-Even Arrays,find-the-number-of-k-even-arrays,2,True
3349,Adjacent Increasing Subarrays Detection I,adjacent-increasing-subarrays-detection-i,1,False
3315,Construct the Minimum Bitwise Array II,construct-the-minimum-bitwise-array-ii,2,False
3318,Find X-Sum of All K-Long Subarrays I,find-x-sum-of-all-k-long-subarrays-i,1,False
3336,Find the Number of Subsequences With Equal GCD,find-the-number-of-subsequences-with-equal-gcd,3,False
3326,Minimum Division Operations to Make Array Non Decreasing,minimum-division-operations-to-make-array-non-decreasing,2,False
3300,Minimum Element After Replacement With Digit Sum,minimum-element-after-replacement-with-digit-sum,1,False
3314,Construct the Minimum Bitwise Array I,construct-the-minimum-bitwise-array-i,1,False
3317,Find the Number of Possible Ways for an Event,find-the-number-of-possible-ways-for-an-event,3,False
3327,Check if DFS Strings Are Palindromes,check-if-dfs-strings-are-palindromes,3,False
3284,Sum of Consecutive Subarrays,sum-of-consecutive-subarrays,2,True
3307,Find the K-th Character in String Game II,find-the-k-th-character-in-string-game-ii,3,False
3304,Find the K-th Character in String Game I,find-the-k-th-character-in-string-game-i,1,False
3365,Rearrange K Substrings to Form Target String,rearrange-k-substrings-to-form-target-string,2,False
3371,Identify the Largest Outlier in an Array,identify-the-largest-outlier-in-an-array,2,False
3334,Find the Maximum Factor Score of Array,find-the-maximum-factor-score-of-array,2,False
3321,Find X-Sum of All K-Long Subarrays II,find-x-sum-of-all-k-long-subarrays-ii,3,False
3361,Shift Distance Between Two Strings,shift-distance-between-two-strings,2,False
3279,Maximum Total Area Occupied by Pistons,maximum-total-area-occupied-by-pistons,3,True
3320,Count The Number of Winning Sequences,count-the-number-of-winning-sequences,3,False
3332,Maximum Points Tourist Can Earn,maximum-points-tourist-can-earn,2,False
3269,Constructing Two Increasing Arrays,constructing-two-increasing-arrays,3,True
3302,Find the Lexicographically Smallest Valid Sequence,find-the-lexicographically-smallest-valid-sequence,2,False
3312,Sorted GCD Pair Queries,sorted-gcd-pair-queries,3,False
3285,Find Indices of Stable Mountains,find-indices-of-stable-mountains,1,False
3289,The Two Sneaky Numbers of Digitville,the-two-sneaky-numbers-of-digitville,1,False
3303,Find the Occurrence of First Almost Equal Substring,find-the-occurrence-of-first-almost-equal-substring,3,False
3309,Maximum Possible Number by Binary Concatenation,maximum-possible-number-by-binary-concatenation,2,False
3311,Construct 2D Grid Matching Graph Layout,construct-2d-grid-matching-graph-layout,3,False
3263,Convert Doubly Linked List to Array I,convert-doubly-linked-list-to-array-i,1,True
3331,Find Subtree Sizes After Changes,find-subtree-sizes-after-changes,2,False
3287,Find the Maximum Sequence Value of Array,find-the-maximum-sequence-value-of-array,3,False
3297,Count Substrings That Can Be Rearranged to Contain a String I,count-substrings-that-can-be-rearranged-to-contain-a-string-i,2,False
3298,Count Substrings That Can Be Rearranged to Contain a String II,count-substrings-that-can-be-rearranged-to-contain-a-string-ii,3,False
3288,Length of the Longest Increasing Path,length-of-the-longest-increasing-path,3,False
3305,Count of Substrings Containing Every Vowel and K Consonants I,count-of-substrings-containing-every-vowel-and-k-consonants-i,2,False
3306,Count of Substrings Containing Every Vowel and K Consonants II,count-of-substrings-containing-every-vowel-and-k-consonants-ii,2,False
3270,Find the Key of the Numbers,find-the-key-of-the-numbers,1,False
3280,Convert Date to Binary,convert-date-to-binary,1,False
3324,Find the Sequence of Strings Appeared on the Screen,find-the-sequence-of-strings-appeared-on-the-screen,2,False
3323,Minimize Connected Groups by Inserting Interval,minimize-connected-groups-by-inserting-interval,2,True
3276,Select Cells in Grid With Maximum Score,select-cells-in-grid-with-maximum-score,3,False
3310,Remove Methods From Project,remove-methods-from-project,2,False
3283,Maximum Number of Moves to Kill All Pawns,maximum-number-of-moves-to-kill-all-pawns,3,False
3291,Minimum Number of Valid Strings to Form Target I,minimum-number-of-valid-strings-to-form-target-i,2,False
3286,Find a Safe Walk Through a Grid,find-a-safe-walk-through-a-grid,2,False
3292,Minimum Number of Valid Strings to Form Target II,minimum-number-of-valid-strings-to-form-target-ii,3,False
3266,Final Array State After K Multiplication Operations II,final-array-state-after-k-multiplication-operations-ii,3,False
3264,Final Array State After K Multiplication Operations I,final-array-state-after-k-multiplication-operations-i,1,False
3274,Check if Two Chessboard Squares Have the Same Color,check-if-two-chessboard-squares-have-the-same-color,1,False
3260,Find the Largest Palindrome Divisible by K,find-the-largest-palindrome-divisible-by-k,3,False
3277,Maximum XOR Score Subarray Queries,maximum-xor-score-subarray-queries,3,False
3256,Maximum Value Sum by Placing Three Rooks I,maximum-value-sum-by-placing-three-rooks-i,3,False
3272,Find the Count of Good Integers,find-the-count-of-good-integers,3,False
3261,Count Substrings That Satisfy K-Constraint II,count-substrings-that-satisfy-k-constraint-ii,3,False
3231,Minimum Number of Increasing Subsequence to Be Removed,minimum-number-of-increasing-subsequence-to-be-removed,3,True
3267,Count Almost Equal Pairs II,count-almost-equal-pairs-ii,3,False
3258,Count Substrings That Satisfy K-Constraint I,count-substrings-that-satisfy-k-constraint-i,1,False
3257,Maximum Value Sum by Placing Three Rooks II,maximum-value-sum-by-placing-three-rooks-ii,3,False
3295,Report Spam Message,report-spam-message,2,False
3271,Hash Divided String,hash-divided-string,2,False
3237,Alt and Tab Simulation,alt-and-tab-simulation,2,True
3247,Number of Subsequences with Odd Sum,number-of-subsequences-with-odd-sum,2,True
3251,Find the Count of Monotonic Pairs II,find-the-count-of-monotonic-pairs-ii,3,False
3250,Find the Count of Monotonic Pairs I,find-the-count-of-monotonic-pairs-i,3,False
3265,Count Almost Equal Pairs I,count-almost-equal-pairs-i,2,False
3248,Snake in Matrix,snake-in-matrix,1,False
3241,Time Taken to Mark All Nodes,time-taken-to-mark-all-nodes,3,False
3273,Minimum Amount of Damage Dealt to Bob,minimum-amount-of-damage-dealt-to-bob,3,False
3221,Maximum Array Hopping Score II,maximum-array-hopping-score-ii,2,True
3282,Reach End of Array With Max Score,reach-end-of-array-with-max-score,2,False
3245,Alternating Groups III,alternating-groups-iii,3,False
3239,Minimum Number of Flips to Make Binary Grid Palindromic I,minimum-number-of-flips-to-make-binary-grid-palindromic-i,2,False
3259,Maximum Energy Boost From Two Drinks,maximum-energy-boost-from-two-drinks,2,False
3240,Minimum Number of Flips to Make Binary Grid Palindromic II,minimum-number-of-flips-to-make-binary-grid-palindromic-ii,2,False
3255,Find the Power of K-Size Subarrays II,find-the-power-of-k-size-subarrays-ii,2,False
3254,Find the Power of K-Size Subarrays I,find-the-power-of-k-size-subarrays-i,2,False
3215,Count Triplets with Even XOR Set Bits II,count-triplets-with-even-xor-set-bits-ii,2,True
3238,Find the Number of Winning Players,find-the-number-of-winning-players,1,False
3290,Maximum Multiplication Score,maximum-multiplication-score,2,False
3243,Shortest Distance After Road Addition Queries I,shortest-distance-after-road-addition-queries-i,2,False
3242,Design Neighbor Sum Service,design-neighbor-sum-service,1,False
3232,Find if Digit Game Can Be Won,find-if-digit-game-can-be-won,1,False
3244,Shortest Distance After Road Addition Queries II,shortest-distance-after-road-addition-queries-ii,3,False
3205,Maximum Array Hopping Score I,maximum-array-hopping-score-i,2,True
3222,Find the Winning Player in Coin Game,find-the-winning-player-in-coin-game,1,False
3301,Maximize the Total Height of Unique Towers,maximize-the-total-height-of-unique-towers,2,False
3319,K-th Largest Perfect Subtree Size in Binary Tree,k-th-largest-perfect-subtree-size-in-binary-tree,2,False
3226,Number of Bit Changes to Make Two Integers Equal,number-of-bit-changes-to-make-two-integers-equal,1,False
3233,Find the Count of Numbers Which Are Not Special,find-the-count-of-numbers-which-are-not-special,2,False
3199,Count Triplets with Even XOR Set Bits I,count-triplets-with-even-xor-set-bits-i,1,True
3189,Minimum Moves to Get a Peaceful Board,minimum-moves-to-get-a-peaceful-board,2,True
3325,Count Substrings With K-Frequency Characters I,count-substrings-with-k-frequency-characters-i,2,False
3217,Delete Nodes From Linked List Present in Array,delete-nodes-from-linked-list-present-in-array,2,False
3219,Minimum Cost for Cutting Cake II,minimum-cost-for-cutting-cake-ii,3,False
3329,Count Substrings With K-Frequency Characters II,count-substrings-with-k-frequency-characters-ii,3,True
3224,Minimum Array Changes to Make Differences Equal,minimum-array-changes-to-make-differences-equal,2,False
3313,Find the Last Marked Nodes in Tree,find-the-last-marked-nodes-in-tree,3,True
3296,Minimum Number of Seconds to Make Mountain Height Zero,minimum-number-of-seconds-to-make-mountain-height-zero,2,False
3275,K-th Nearest Obstacle Queries,k-th-nearest-obstacle-queries,2,False
3218,Minimum Cost for Cutting Cake I,minimum-cost-for-cutting-cake-i,2,False
3228,Maximum Number of Operations to Move Ones to the End,maximum-number-of-operations-to-move-ones-to-the-end,2,False
3212,Count Submatrices With Equal Frequency of X and Y,count-submatrices-with-equal-frequency-of-x-and-y,2,False
3202,Find the Maximum Length of Valid Subsequence II,find-the-maximum-length-of-valid-subsequence-ii,2,False
3201,Find the Maximum Length of Valid Subsequence I,find-the-maximum-length-of-valid-subsequence-i,2,False
3183,The Number of Ways to Make the Sum,the-number-of-ways-to-make-the-sum,2,True
3316,Find Maximum Removals From Source String,find-maximum-removals-from-source-string,2,False
3249,Count the Number of Good Nodes,count-the-number-of-good-nodes,2,False
3281,Maximize Score of Numbers in Ranges,maximize-score-of-numbers-in-ranges,2,False
3216,Lexicographically Smallest String After a Swap,lexicographically-smallest-string-after-a-swap,1,False
3208,Alternating Groups II,alternating-groups-ii,2,False
3213,Construct String with Minimum Cost,construct-string-with-minimum-cost,3,False
3253,Construct String with Minimum Cost (Easy),construct-string-with-minimum-cost-easy,2,True
3234,Count the Number of Substrings With Dominant Ones,count-the-number-of-substrings-with-dominant-ones,2,False
3235,Check if the Rectangle Corner Is Reachable,check-if-the-rectangle-corner-is-reachable,3,False
3192,Minimum Operations to Make Binary Array Elements Equal to One II,minimum-operations-to-make-binary-array-elements-equal-to-one-ii,2,False
3190,Find Minimum Operations to Make All Elements Divisible by Three,find-minimum-operations-to-make-all-elements-divisible-by-three,1,False
3191,Minimum Operations to Make Binary Array Elements Equal to One I,minimum-operations-to-make-binary-array-elements-equal-to-one-i,2,False
3167,Better Compression of String,better-compression-of-string,2,True
3173,Bitwise OR of Adjacent Elements,bitwise-or-of-adjacent-elements,1,True
3194,Minimum Average of Smallest and Largest Elements,minimum-average-of-smallest-and-largest-elements,1,False
3225,Maximum Score From Grid Operations,maximum-score-from-grid-operations,3,False
3200,Maximum Height of a Triangle,maximum-height-of-a-triangle,1,False
3210,Find the Encrypted String,find-the-encrypted-string,1,False
3157,Find the Level of Tree with Minimum Sum,find-the-level-of-tree-with-minimum-sum,2,True
3209,Number of Subarrays With AND Value of K,number-of-subarrays-with-and-value-of-k,3,False
3196,Maximize Total Cost of Alternating Subarrays,maximize-total-cost-of-alternating-subarrays,2,False
3206,Alternating Groups I,alternating-groups-i,1,False
3227,Vowels Game in a String,vowels-game-in-a-string,2,False
3195,Find the Minimum Area to Cover All Ones I,find-the-minimum-area-to-cover-all-ones-i,2,False
3193,Count the Number of Inversions,count-the-number-of-inversions,3,False
3197,Find the Minimum Area to Cover All Ones II,find-the-minimum-area-to-cover-all-ones-ii,3,False
